ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,
TABLE 5.5. Availability and consumption of electricity,,,,,,,,,,,,,,,,TWh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Other generators,Other generators,Other generators,All electricity suppliers,All electricity suppliers,All electricity suppliers,,,,,,,
,,Electricity available,"Transmission, distribution and other losses",Sales to England and Wales,Sales to Scotland,Sales to Northern Ireland,Total Sales,Sales to Industrial,Sales to Domestic ,Sales to Other,Electricity available,Losses and statistical differences,Consumption of electricity,Electricity Available,Losses and statistical differences,Consumption of electricity,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2008,Quarter 2,84.24 ,6.51 ,68.66 ,7.18 ,1.88 ,77.72 ,26.41 ,26.55 ,24.76 ,4.49 ,0.00 ,4.49 ,88.73 ,6.51 ,82.21 ,,,,,,,
2008,Quarter 3,81.42 ,6.63 ,66.43 ,6.57 ,1.79 ,74.79 ,25.47 ,24.99 ,24.33 ,4.50 ,0.00 ,4.49 ,85.92 ,6.63 ,79.28 ,,,,,,,
2008,Quarter 4,94.61 ,7.03 ,77.38 ,8.06 ,2.14 ,87.58 ,27.07 ,33.58 ,26.93 ,4.47 ,0.05 ,4.41 ,99.07 ,7.08 ,91.99 ,,,,,,,
2009,Quarter 1,95.53 ,8.36 ,76.98 ,7.78 ,2.41 ,87.17 ,23.97 ,36.39 ,26.81 ,4.52 ,0.03 ,4.49 ,100.05 ,8.39 ,91.66 ,,,,,,,
2009,Quarter 2,79.01 ,6.90 ,63.50 ,6.64 ,1.98 ,72.12 ,22.46 ,25.32 ,24.33 ,4.07 ,0.03 ,4.04 ,83.08 ,6.93 ,76.16 ,,,,,,,
2009,Quarter 3,77.81 ,6.83 ,62.39 ,6.67 ,1.92 ,70.98 ,22.54 ,23.87 ,24.58 ,3.77 ,0.00 ,3.76 ,81.58 ,6.83 ,74.74 ,,,,,,,
2009,Quarter 4,89.54 ,6.02 ,73.69 ,7.53 ,2.30 ,83.52 ,26.04 ,32.96 ,24.53 ,3.92 ,-0.03 ,3.94 ,93.46 ,6.00 ,87.46 ,,,,,,,
2010,Quarter 1,96.34 ,7.33 ,79.80 ,6.71 ,2.50 ,89.01 ,24.96 ,36.08 ,27.97 ,4.41 ,0.05 ,4.36 ,100.75 ,7.38 ,93.37 ,,,,,,,
2010,Quarter 2,79.17 ,6.33 ,66.88 ,3.88 ,2.08 ,72.84 ,23.98 ,25.07 ,23.79 ,4.23 ,-0.01 ,4.24 ,83.41 ,6.32 ,77.08 ,,,,,,,
2010,Quarter 3,76.97 ,6.24 ,64.74 ,4.01 ,1.98 ,70.73 ,24.09 ,23.21 ,23.43 ,4.36 ,-0.02 ,4.38 ,81.33 ,6.22 ,75.11 ,,,,,,,
2010,Quarter 4,94.31 ,6.97 ,78.95 ,6.01 ,2.37 ,87.34 ,25.94 ,34.45 ,26.95 ,4.60 ,0.01 ,4.60 ,98.91 ,6.98 ,91.93 ,,,,,,,
2011,Quarter 1,94.03 ,8.45 ,76.51 ,6.82 ,2.25 ,85.58 ,25.04 ,34.08 ,26.46 ,4.67 ,0.00 ,4.66 ,98.70 ,8.45 ,90.25 ,,,,,,,
2011,Quarter 2,77.50 ,6.39 ,65.22 ,3.97 ,1.92 ,71.11 ,23.27 ,23.92 ,23.92 ,4.45 ,0.01 ,4.44 ,81.95 ,6.40 ,75.54 ,,,,,,,
2011,Quarter 3,76.84 ,6.33 ,62.50 ,6.14 ,1.87 ,70.51 ,23.55 ,22.84 ,24.11 ,4.38 ,-0.00 ,4.38 ,81.22 ,6.33 ,74.89 ,,,,,,,
2011,Quarter 4,87.63 ,6.80 ,70.74 ,7.93 ,2.17 ,80.84 ,24.20 ,30.64 ,25.99 ,4.41 ,0.04 ,4.36 ,92.04 ,6.84 ,85.20 ,,,,,,,
2012,Quarter 1,91.58 ,8.10 ,73.71 ,7.65 ,2.11 ,83.48 ,23.31 ,33.43 ,26.74 ,4.45 ,0.09 ,4.36 ,96.02 ,8.19 ,87.83 ,,,,,,,
2012,Quarter 2,79.18 ,7.15 ,63.35 ,6.81 ,1.87 ,72.03 ,22.88 ,25.00 ,24.15 ,4.09 ,0.05 ,4.04 ,83.27 ,7.20 ,76.07 ,,,,,,,
2012,Quarter 3,76.12 ,6.20 ,61.71 ,6.45 ,1.77 ,69.92 ,23.04 ,22.97 ,23.91 ,4.28 ,0.07 ,4.20 ,80.40 ,6.27 ,74.13 ,,,,,,,
2012,Quarter 4,89.80 ,6.83 ,72.93 ,7.84 ,2.21 ,82.98 ,24.27 ,32.76 ,25.95 ,4.28 ,0.12 ,4.16 ,94.08 ,6.95 ,87.14 ,,,,,,,
2013,Quarter 1,93.56 ,8.41 ,75.02 ,7.99 ,2.14 ,85.15 ,23.74 ,34.24 ,27.17 ,4.60 ,-0.13 ,4.73 ,98.16 ,8.29 ,89.88 ,,,,,,,
2013,Quarter 2,77.77 ,6.21 ,62.82 ,6.88 ,1.84 ,71.55 ,22.99 ,25.26 ,23.31 ,4.45 ,0.04 ,4.41 ,82.21 ,6.26 ,75.96 ,,,,,,,
2013,Quarter 3,74.84 ,5.21 ,61.23 ,6.59 ,1.81 ,69.62 ,23.15 ,22.46 ,24.01 ,4.18 ,0.03 ,4.16 ,79.02 ,5.24 ,73.78 ,,,,,,,
2013,Quarter 4,87.02 ,6.60 ,71.01 ,7.42 ,2.00 ,80.42 ,23.49 ,30.83 ,26.11 ,4.52 ,0.21 ,4.31 ,91.54 ,6.81 ,84.73 ,,,,,,,
2014,Quarter 1,87.77 ,7.94 ,70.26 ,7.73 ,1.84 ,79.83 ,23.13 ,31.59 ,25.11 ,5.02 ,0.01 ,5.01 ,92.79 ,7.96 ,84.84 ,,,,,,,
